protection	configuration	head_mode	training_mode	epoch	lr	train_loss	train_accuracy	accuracy	fidelity	kl_divergence_victim_to_surrogate
full_protection	replace_frozen	replace	frozen	72	0.0001	2.5729914245605467	0.44	0.1451	0.1522	2.9463042213439943
full_protection	replace_frozen	replace	frozen	73	0.0001	2.5571478805541994	0.446	0.1451	0.1522	2.946266346740723
full_protection	replace_frozen	replace	frozen	74	0.0001	2.543845922470093	0.45	0.1451	0.1523	2.9461787467956544
full_protection	replace_frozen	replace	frozen	75	0.0001	2.550191650390625	0.438	0.1451	0.1523	2.94612770690918
full_protection	replace_frozen	replace	frozen	76	0.0001	2.54486932182312	0.458	0.1453	0.1525	2.9460567390441894
full_protection	replace_frozen	replace	frozen	77	0.0001	2.5407601890563964	0.436	0.1452	0.1524	2.9459890048980713
full_protection	replace_frozen	replace	frozen	78	0.0001	2.5361437282562256	0.458	0.1451	0.1523	2.945928466796875
full_protection	replace_frozen	replace	frozen	79	0.0001	2.540912134170532	0.46	0.1452	0.1524	2.9458742473602295
full_protection	replace_frozen	replace	frozen	80	0.0001	2.5324269733428957	0.46	0.1451	0.1523	2.9458497283935547
full_protection	replace_frozen	replace	frozen	81	0.0001	2.553344024658203	0.452	0.1453	0.1525	2.9458062255859376
full_protection	replace_frozen	replace	frozen	82	0.0001	2.582247766494751	0.448	0.1454	0.1526	2.945727053451538
full_protection	replace_frozen	replace	frozen	83	0.0001	2.5543295612335206	0.444	0.1454	0.1526	2.9456768028259277
full_protection	replace_frozen	replace	frozen	84	0.0001	2.5921641807556153	0.446	0.1454	0.1526	2.9456123687744142
full_protection	replace_frozen	replace	frozen	85	0.0001	2.5820716800689696	0.44	0.1455	0.1527	2.945589558029175
full_protection	replace_frozen	replace	frozen	86	0.0001	2.5396837253570554	0.45	0.1455	0.1527	2.9455289878845217
full_protection	replace_frozen	replace	frozen	87	0.0001	2.5446105976104736	0.43	0.1455	0.1527	2.9455065212249756
full_protection	replace_frozen	replace	frozen	88	0.0001	2.544263723373413	0.464	0.1455	0.1527	2.945436257171631
full_protection	replace_frozen	replace	frozen	89	0.0001	2.5507347202301025	0.432	0.1455	0.1527	2.9453890853881837
full_protection	replace_frozen	replace	frozen	90	0.0001	2.5731197929382326	0.44	0.1455	0.1527	2.9453029430389406
full_protection	replace_frozen	replace	frozen	91	1e-05	2.5364424705505373	0.44	0.1455	0.1527	2.9452982566833494
full_protection	replace_frozen	replace	frozen	92	1e-05	2.5762934341430666	0.442	0.1455	0.1527	2.945292951965332
full_protection	replace_frozen	replace	frozen	93	1e-05	2.5614241065979004	0.45	0.1455	0.1527	2.9452864471435545
full_protection	replace_frozen	replace	frozen	94	1e-05	2.5587302570343016	0.448	0.1455	0.1527	2.9452838371276857
full_protection	replace_frozen	replace	frozen	95	1e-05	2.598113487243652	0.418	0.1455	0.1527	2.9452774307250977
full_protection	replace_frozen	replace	frozen	96	1e-05	2.5420422706604002	0.434	0.1455	0.1527	2.945268970489502
full_protection	replace_frozen	replace	frozen	97	1e-05	2.5391972846984863	0.446	0.1455	0.1527	2.94526577835083
full_protection	replace_frozen	replace	frozen	98	1e-05	2.559326795578003	0.442	0.1455	0.1527	2.945256999206543
full_protection	replace_frozen	replace	frozen	99	1e-05	2.5583042392730713	0.422	0.1455	0.1527	2.9452545166015627
full_protection	replace_frozen	replace	frozen	100	1e-05	2.5458526306152343	0.456	0.1455	0.1527	2.9452483421325684
full_protection	replace_finetune	replace	finetune	1	0.01	4.8344906692504885	0.012	0.0467	0.0495	3.576881144332886
full_protection	replace_finetune	replace	finetune	2	0.01	4.040940231323242	0.132	0.0765	0.0811	3.4652750045776366
full_protection	replace_finetune	replace	finetune	3	0.01	3.4732956562042236	0.272	0.0965	0.1015	3.381449110794067
full_protection	replace_finetune	replace	finetune	4	0.01	3.0570438899993895	0.324	0.1057	0.1094	3.3561995918273926
