product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
29	25	72	conv_weight	layer3.0.downsample.0	layer3.0.downsample.0.weight	32768	1024	sqrt_feature_count_x_parameter_count	5792.618751480198	235.43868560791014	281.4980625	0.040644602330810756	0.04859599338003529	0.0019751648258022466
30	21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight	294912	1024	sqrt_feature_count_x_parameter_count	17377.85625444059	699.6062824707031	788.1605400390625	0.04025849173956262	0.04535430196331971	0.0018258957909439353
31	19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight	147456	2048	sqrt_feature_count_x_parameter_count	17377.85625444059	573.9413217163086	535.3300103149414	0.033027164761456035	0.03080529626191077	0.0010174115951675927
32	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	1024	sqrt_feature_count_x_parameter_count	24576.0	488.9070841064453	482.90595135498046	0.019893680180112523	0.01964949346333742	0.0003909007386608462
33	35	102	conv_weight	layer4.0.downsample.0	layer4.0.downsample.0.weight	131072	512	sqrt_feature_count_x_parameter_count	8192.0	152.8632660675049	155.52514756774903	0.01866006665863097	0.01898500336520374	0.000354261428309035
34	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	1024	sqrt_feature_count_x_parameter_count	24576.0	334.8606267700195	477.5222607421875	0.013625513784587382	0.019430430531501768	0.0002647495990474449
35	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512	sqrt_feature_count_x_parameter_count	24576.0	262.45557778930663	271.7561067199707	0.010679344799369573	0.011057784290363392	0.00011808989115384286
36	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512	sqrt_feature_count_x_parameter_count	34755.71250888118	246.204177734375	251.4321505126953	0.007083847804054142	0.007234268336419414	5.124645586888308e-05
37	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	1024	sqrt_feature_count_x_parameter_count	24576.0	138.0755456237793	142.49269697570801	0.005618308334300916	0.005798042682930827	3.257519152814271e-05
38	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512	sqrt_feature_count_x_parameter_count	34755.71250888118	99.67806544494628	85.04791833496094	0.002867962077298096	0.002447019847837345	7.017960125993262e-06
39	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512	sqrt_feature_count_x_parameter_count	34755.71250888118	67.48876429748535	28.72629619598389	0.001941803502956236	0.0008265201350322889	1.6049396934695599e-06
40	1	0	conv_weight	conv1	conv1.weight	9408	16384	sqrt_feature_count_x_parameter_count	12415.340188653712	0.0	21489.855811523437	0.0	1.730911556588909	0.0
