artifact_id	plan_id	run_id	attack_protocol	dataset	victim_model	defense	protected_layer_count	source_ratio	training_mode	label_mode	query_transform	query_budget	query_train_size	query_validation_size	query_split_seed	query_sampler_seed	lr_step	protected_unit_count	protection_mask_sha256	protected_scalar_count	protected_param_count	total_param_count	protected_param_ratio	head_mode	primary_checkpoint	primary_epoch	selection_metric	validation_loss	validation_match	eval_count	victim_correct	surrogate_correct	agreement_count	victim_acc	surrogate_acc	fidelity	posterior_kl_sum	posterior_kl	metrics_path
middle_08	middle_08	e0f7400787ed	soft_query_validation_best_v1	c100	resnet18	middle	8	None	finetune	soft	test	500	400	100	42	42	60	60	87d57bb8b3248f499362f73dff667ce39efac9cf5e81d9aadcad8a96e9a5b4d6		2625280	11227812	0.23381937638428574	exposed	best.pth	92	validation_soft_cross_entropy	3.1521193981170654	0.27	10000	6182	2262	2499	0.6182	0.2262	0.2499	23125.324897766113	2.3125324897766113	results/MS/resnet18/c100/middle_08/metrics.json
middle_10	middle_10	13cb636e727c	soft_query_validation_best_v1	c100	resnet18	middle	10	None	finetune	soft	test	500	400	100	42	42	60	78	ac2d8444e2f181dbabc18359bed2d0c817641b84e3d27afd1bf0c225316061aa		3975040	11227812	0.35403514059551405	exposed	best.pth	65	validation_soft_cross_entropy	3.3276350498199463	0.18	10000	6182	1889	2068	0.6182	0.1889	0.2068	24645.828662872314	2.4645828662872313	results/MS/resnet18/c100/middle_10/metrics.json
middle_12	middle_12	674e83144134	soft_query_validation_best_v1	c100	resnet18	middle	12	None	finetune	soft	test	500	400	100	42	42	60	90	1d2d64cb8a3f5053da60a758c19c75d715f7a75da7678ea379b3c357c08130fa		6372352	11227812	0.5675506501177612	exposed	best.pth	90	validation_soft_cross_entropy	3.3624138832092285	0.19	10000	6182	1798	1875	0.6182	0.1798	0.1875	25015.963218688965	2.5015963218688966	results/MS/resnet18/c100/middle_12/metrics.json
middle_14	middle_14	52f03973ddf8	soft_query_validation_best_v1	c100	resnet18	middle	14	None	finetune	soft	test	500	400	100	42	42	60	102	0096090160edbaeed77c1a5a37e51c25786cc013ccc6b6c39eb74a68a8b2a14d		8769664	11227812	0.7810661596400083	exposed	best.pth	93	validation_soft_cross_entropy	3.2783291339874268	0.2	10000	6182	1895	1991	0.6182	0.1895	0.1991	24465.591827392578	2.4465591827392577	results/MS/resnet18/c100/middle_14/metrics.json
middle_16	middle_16	c535b132b074	soft_query_validation_best_v1	c100	resnet18	middle	16	None	finetune	soft	test	500	400	100	42	42	60	114	68847dac45732aa73d865fdee3281579bc9e791f6ee542386795ed66faa0e531		11166976	11227812	0.9945816691622553	exposed	best.pth	90	validation_soft_cross_entropy	4.036509990692139	0.18	10000	6182	1462	1541	0.6182	0.1462	0.1541	31418.805644989014	3.1418805644989014	results/MS/resnet18/c100/middle_16/metrics.json
no_protection		1ca8dc75c3e2	soft_query_validation_best_v1	c100	resnet18	no_protection			identity	soft	test	500	400	100	42	42	60	0	2be6fb541842fb402b60fc79bac066bd42d0c013d13c3eb27c4681f4b7a3c9a1		0	11227812	0.0	exposed	best.pth	0	identity_epoch_0	0.4822617173194885	1.0	10000	6182	6182	10000	0.6182	0.6182	1.0	1.0590571463353626e-05	1.0590571463353626e-09	results/MS/resnet18/c100/no_protection/metrics.json
shallow_02	shallow_02	71a1e0e5ef62	soft_query_validation_best_v1	c100	resnet18	shallow	2	None	finetune	soft	test	500	400	100	42	42	60	12	f1729cb330869846d00afd81fb142583f48f0150b0263a97dbec5e98dba96983		46528	11227812	0.004143995285991607	exposed	best.pth	83	validation_soft_cross_entropy	0.6797535419464111	0.94	10000	6182	5608	7215	0.6182	0.5608	0.7215	4125.573320388794	0.4125573320388794	results/MS/resnet18/c100/shallow_02/metrics.json
shallow_04	shallow_04	f987d3409fab	soft_query_validation_best_v1	c100	resnet18	shallow	4	None	finetune	soft	test	500	400	100	42	42	60	24	931cba3468c76e98e5b7c86c6a80a79ef4231c19bd538556e900f22f195cf590		120512	11227812	0.01073334679989298	exposed	best.pth	91	validation_soft_cross_entropy	0.8132859468460083	0.84	10000	6182	5541	6918	0.6182	0.5541	0.6918	4824.607458114624	0.4824607458114624	results/MS/resnet18/c100/shallow_04/metrics.json
shallow_06	shallow_06	a27c2ebdfa90	soft_query_validation_best_v1	c100	resnet18	shallow	6	None	finetune	soft	test	500	400	100	42	42	60	42	49e29cb4167ad19e00c15c92b8f869d5995c51cea65b267b3b213e45756b9753		239936	11227812	0.021369791371640353	exposed	best.pth	78	validation_soft_cross_entropy	1.0740312337875366	0.7	10000	6182	5140	6158	0.6182	0.514	0.6158	7617.704002380371	0.7617704002380371	results/MS/resnet18/c100/shallow_06/metrics.json
shallow_08	shallow_08	dc862bfba2ed	soft_query_validation_best_v1	c100	resnet18	shallow	8	None	finetune	soft	test	500	400	100	42	42	60	54	513557562fe370f64c3f42918c3d4dd12a99950da3fd958fefe1a6fd1c372d20		535360	11227812	0.04768159637870673	exposed	best.pth	83	validation_soft_cross_entropy	1.3099514245986938	0.72	10000	6182	4787	5474	0.6182	0.4787	0.5474	9867.178146362305	0.9867178146362304	results/MS/resnet18/c100/shallow_08/metrics.json
shallow_10	shallow_10	36f501060b30	soft_query_validation_best_v1	c100	resnet18	shallow	10	None	finetune	soft	test	500	400	100	42	42	60	72	d9c1a23ce78d560e0b989a5954aa83a3729a8b61cb15c3d13f0b18817e078c82		1011776	11227812	0.09011337204434844	exposed	best.pth	55	validation_soft_cross_entropy	2.0457065105438232	0.5	10000	6182	3620	3960	0.6182	0.362	0.396	16178.829891204834	1.6178829891204833	results/MS/resnet18/c100/shallow_10/metrics.json
shallow_12	shallow_12	b21fef5cf19c	soft_query_validation_best_v1	c100	resnet18	shallow	12	None	finetune	soft	test	500	400	100	42	42	60	84	a29e1f7e1d5333e6f65997be10eb45ab1b5186b94572fa4d1bb2cad0c89c1812		2192448	11227812	0.19526938997553575	exposed	best.pth	60	validation_soft_cross_entropy	2.7295854091644287	0.35	10000	6182	2983	3196	0.6182	0.2983	0.3196	19712.44648361206	1.971244648361206	results/MS/resnet18/c100/shallow_12/metrics.json
shallow_14	shallow_14	a2f1785fdb07	soft_query_validation_best_v1	c100	resnet18	shallow	14	None	finetune	soft	test	500	400	100	42	42	60	102	2d432f2fd3a101a9a7aeb67df73b2c7f0fa259afc6ee481c9c3a011521867f26		4095552	11227812	0.36476848739540707	exposed	best.pth	50	validation_soft_cross_entropy	3.080543041229248	0.21	10000	6182	2143	2289	0.6182	0.2143	0.2289	23104.665298461914	2.3104665298461913	results/MS/resnet18/c100/shallow_14/metrics.json
shallow_16	shallow_16	05e0bb2d0dc0	soft_query_validation_best_v1	c100	resnet18	shallow	16	None	finetune	soft	test	500	400	100	42	42	60	114	7050de8a72a0ef79bc73e1164a4a1abc41b7000397047f2c4909e336076c9a3e		8816192	11227812	0.7852101549259999	exposed	best.pth	93	validation_soft_cross_entropy	3.0395381450653076	0.22	10000	6182	2081	2160	0.6182	0.2081	0.216	23466.721843719482	2.3466721843719482	results/MS/resnet18/c100/shallow_16/metrics.json
tensorshield		5057ffe55a3e	soft_query_validation_best_v1	c100	resnet18	tensorshield			finetune	soft	test	500	400	100	42	42	60	11	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb		1009764	11227812	0.08993417417391741	replace	best.pth	93	validation_soft_cross_entropy	3.5865070819854736	0.18	10000	6182	1728	1865	0.6182	0.1728	0.1865	26944.92276763916	2.694492276763916	results/MS/resnet18/c100/tensorshield/metrics.json
