epoch	learning_rate	temperature	soft_protected_param_count	binary_penalty	query_loss	query_match	holdout_loss	holdout_match
27	0.01	0.9106371221023624	846924.125	0.05819572135806084	0.7601114392280579	0.97	2.21200093626976	0.451171875
28	0.01	0.8834940584779543	846923.9375	0.056162647902965546	0.7543165926933288	0.964	2.206525295972824	0.46484375
29	0.01	0.857160039296208	846924.0625	0.05398654192686081	0.7497254233360291	0.972	2.0157816112041473	0.4765625
30	0.01	0.8316109496333532	846924.0625	0.05147700011730194	0.7453320121765137	0.962	2.1254127472639084	0.478515625
31	0.01	0.8068233933512854	846924.0	0.04874037578701973	0.743556547164917	0.974	2.055788516998291	0.46484375
32	0.01	0.7827746716729557	846924.0	0.04595981538295746	0.7429270286560059	0.966	2.1297114193439484	0.45703125
33	0.01	0.759442762396358	846924.0	0.042595233768224716	0.7414903745651246	0.964	2.1645379215478897	0.439453125
34	0.01	0.7368062997280774	846924.0	0.039200861006975174	0.7402743172645568	0.97	2.1320489197969437	0.45703125
35	0.01	0.7148445547179327	846924.0625	0.03604615852236748	0.7391856327056885	0.974	2.1994425505399704	0.4140625
36	0.01	0.693537416276799	846924.0	0.03319355845451355	0.7394077472686768	0.97	2.2248252630233765	0.45703125
37	0.01	0.6728653727602238	846924.0625	0.03025994636118412	0.7397274885177613	0.978	2.2035250663757324	0.451171875
38	0.01	0.6528094941009757	846923.9375	0.027581827715039253	0.7394077029228211	0.968	2.299367129802704	0.4140625
39	0.01	0.6333514144741618	846924.0625	0.025087229907512665	0.7392408871650695	0.974	2.2104932963848114	0.404296875
40	0.01	0.61447331547904	846924.0625	0.02314174920320511	0.7376330413818359	0.98	2.3399634063243866	0.39453125
41	0.01	0.5961579098221269	846924.0	0.021465260535478592	0.7357236351966858	0.966	2.276962637901306	0.41796875
42	0.01	0.578388425486656	846924.0	0.01992201991379261	0.7326673440933228	0.968	2.3354442715644836	0.380859375
43	0.01	0.5611485903738932	846924.0625	0.018533533439040184	0.7284154391288757	0.98	2.3804599940776825	0.40625
44	0.01	0.5444226174022428	846924.0	0.017361141741275787	0.7239494566917419	0.976	2.4076674580574036	0.373046875
45	0.01	0.5281951900505004	846924.0625	0.016234179958701134	0.7187959084510803	0.972	2.294535458087921	0.4140625
46	0.01	0.5124514483320121	846923.9375	0.015439135953783989	0.7149813418388367	0.98	2.36388435959816	0.408203125
47	0.01	0.4971769751868986	846924.0625	0.014482871629297733	0.7117185597419738	0.974	2.3627988696098328	0.37890625
48	0.01	0.4823577832798813	846924.0625	0.0134812006726861	0.7079135456085205	0.978	2.372470945119858	0.40625
49	0.01	0.4679803021916212	846924.0625	0.012651609256863594	0.7067408041954041	0.988	2.3887615501880646	0.373046875
50	0.01	0.45403136599184135	846924.0	0.012007743120193481	0.7069445452690124	0.976	2.2272725701332092	0.423828125
51	0.01	0.44049820118285365	846924.0	0.011361304670572281	0.7028285093307495	0.986	2.425746411085129	0.384765625
52	0.01	0.4273684150024485	846924.0	0.010839422233402729	0.6995133457183837	0.982	2.3643670976161957	0.400390625
53	0.01	0.4146299840754364	846924.0	0.010455112904310226	0.6978485403060913	0.986	2.3979983627796173	0.40625
54	0.01	0.4022712434034502	846924.0	0.010186600498855114	0.6953116607666016	0.978	2.396587997674942	0.392578125
55	0.01	0.3902808756829234	846924.0625	0.009821595624089241	0.6915038161277771	0.976	2.572654664516449	0.361328125
