epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match
35	0.01	500	833.9007043838501	1.6678014087677002	432	0.864
36	0.01	500	819.3925671577454	1.6387851343154907	433	0.866
37	0.01	500	796.5847930908203	1.5931695861816406	427	0.854
38	0.01	500	768.333086013794	1.5366661720275878	434	0.868
39	0.01	500	749.2603240013123	1.4985206480026245	440	0.88
40	0.01	500	730.7693419456482	1.4615386838912965	446	0.892
41	0.01	500	715.2288813591003	1.4304577627182007	444	0.888
42	0.01	500	688.1817970275879	1.3763635940551757	445	0.89
43	0.01	500	680.435809135437	1.360871618270874	449	0.898
44	0.01	500	651.6643977165222	1.3033287954330444	453	0.906
45	0.01	500	641.6320009231567	1.2832640018463135	455	0.91
46	0.01	500	625.0113134384155	1.250022626876831	458	0.916
47	0.01	500	612.1606616973877	1.2243213233947754	459	0.918
48	0.01	500	596.461567401886	1.1929231348037719	457	0.914
49	0.01	500	589.3427295684814	1.1786854591369629	462	0.924
50	0.01	500	576.1822905540466	1.1523645811080934	460	0.92
51	0.01	500	561.6414694786072	1.1232829389572143	461	0.922
52	0.01	500	542.6552248001099	1.0853104496002197	469	0.938
53	0.01	500	541.537392616272	1.083074785232544	466	0.932
54	0.01	500	528.1963782310486	1.0563927564620972	467	0.934
55	0.01	500	515.847555398941	1.031695110797882	467	0.934
56	0.01	500	510.08091831207275	1.0201618366241456	465	0.93
57	0.01	500	503.56098651885986	1.0071219730377197	471	0.942
58	0.01	500	491.6843876838684	0.9833687753677368	467	0.934
59	0.01	500	493.0920453071594	0.9861840906143189	469	0.938
60	0.01	500	479.10772156715393	0.9582154431343078	471	0.942
61	0.001	500	470.098210811615	0.94019642162323	469	0.938
62	0.001	500	469.34691524505615	0.9386938304901123	468	0.936
63	0.001	500	469.49204683303833	0.9389840936660767	473	0.946
64	0.001	500	469.1448760032654	0.9382897520065308	473	0.946
65	0.001	500	472.44485116004944	0.9448897023200988	471	0.942
66	0.001	500	467.66929507255554	0.9353385901451111	470	0.94
67	0.001	500	470.80727529525757	0.9416145505905151	474	0.948
68	0.001	500	466.89913058280945	0.9337982611656189	471	0.942
69	0.001	500	465.2309947013855	0.930461989402771	471	0.942
70	0.001	500	466.1091568470001	0.9322183136940002	471	0.942
71	0.001	500	466.2258195877075	0.9324516391754151	473	0.946
72	0.001	500	465.0814919471741	0.9301629838943481	474	0.948
73	0.001	500	459.3279027938843	0.9186558055877686	469	0.938
74	0.001	500	461.73734998703003	0.9234746999740601	475	0.95
75	0.001	500	458.8701663017273	0.9177403326034546	472	0.944
76	0.001	500	461.42563915252686	0.9228512783050538	475	0.95
77	0.001	500	454.7536458969116	0.9095072917938233	472	0.944
78	0.001	500	456.1006016731262	0.9122012033462524	474	0.948
79	0.001	500	455.67369508743286	0.9113473901748658	476	0.952
80	0.001	500	458.75742840766907	0.9175148568153382	472	0.944
81	0.001	500	461.6306564807892	0.9232613129615783	472	0.944
82	0.001	500	453.87227487564087	0.9077445497512817	473	0.946
83	0.001	500	456.27280282974243	0.9125456056594848	476	0.952
84	0.001	500	449.61712527275085	0.8992342505455017	470	0.94
85	0.001	500	453.94124150276184	0.9078824830055237	472	0.944
86	0.001	500	452.4784908294678	0.9049569816589356	476	0.952
87	0.001	500	453.8690838813782	0.9077381677627564	469	0.938
88	0.001	500	450.43661403656006	0.9008732280731201	474	0.948
89	0.001	500	455.13695669174194	0.9102739133834838	473	0.946
90	0.001	500	450.34143114089966	0.9006828622817993	473	0.946
91	0.001	500	456.44162678718567	0.9128832535743714	475	0.95
92	0.001	500	453.0450358390808	0.9060900716781616	470	0.94
93	0.001	500	451.86829710006714	0.9037365942001343	478	0.956
94	0.001	500	448.7557234764099	0.8975114469528198	475	0.95
95	0.001	500	450.62962889671326	0.9012592577934265	472	0.944
96	0.001	500	446.03912234306335	0.8920782446861267	478	0.956
97	0.001	500	447.7306909561157	0.8954613819122315	471	0.942
98	0.001	500	447.6351902484894	0.8952703804969787	478	0.956
99	0.001	500	448.07360672950745	0.8961472134590149	482	0.964
100	0.001	500	442.9127724170685	0.885825544834137	474	0.948
