seed	subset	restored_group_count	restored_groups	restored_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms
43	77	4	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1,head	309348	20.14421875	19.6176806640625	0.01	0.9933341979980469	2.186754406975274	49.3366064453125	8.661114968640007
43	78	4	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,head	309348	20.9215087890625	20.394970703125	0.01	0.8779415130615235	2.2865626014333036	51.564521484375	8.68152384377305
43	79	5	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,head	346212	20.7770068359375	20.250472412109374	0.0	0.9007211303710938	2.310532841514864	52.041083984375	8.736508169743791
43	80	2	layer3_0_conv1,head	346212	19.04689697265625	18.52035888671875	0.01	0.6194960021972656	1.7589455549652557	39.28994140625	6.776171485433349
43	81	3	layer1_0_conv1,layer3_0_conv1,head	383076	16.414576416015624	15.888037109375	0.02	0.5851908111572266	1.5228339649850569	34.233896484375	5.676366300284012
43	82	3	layer1_1_conv1,layer3_0_conv1,head	383076	79.50462890625	78.978095703125	0.01	0.07373260498046875	5.975891710722447	125.51763671875	20.963489690411755
43	83	4	layer1_0_conv1,layer1_1_conv1,layer3_0_conv1,head	419940	18.642701416015626	18.11616455078125	0.01	0.8712635040283203	1.8753623510548318	42.34599609375	7.498242710795644
43	84	3	layer2_0_conv1,layer3_0_conv1,head	419940	18.783857421875	18.257318115234376	0.01	0.7783997344970703	1.9159556963742013	43.2719384765625	7.6201156487286985
43	85	4	layer1_0_conv1,layer2_0_conv1,layer3_0_conv1,head	456804	17.2153173828125	16.688779296875	0.03	0.7837879943847657	1.821752548682947	41.067412109375	7.617077851774918
43	86	4	layer1_1_conv1,layer2_0_conv1,layer3_0_conv1,head	456804	17.1435400390625	16.617003173828124	0.03	0.7176112365722657	1.8204036156112382	41.046103515625	7.60698486589792
43	87	5	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer3_0_conv1,head	493668	16.04003662109375	15.513499755859375	0.02	0.6669120788574219	1.788312308598791	40.2986865234375	7.511105111766177
43	88	3	layer2_1_conv1,layer3_0_conv1,head	493668	15.997413330078125	15.470875244140625	0.01	0.6493260955810547	1.4921812111287633	33.42640625	5.774879868880391
43	89	4	layer1_0_conv1,layer2_1_conv1,layer3_0_conv1,head	530532	13.7467724609375	13.220234375	0.01	0.9084764099121094	1.3456690511832767	30.23368408203125	5.160212265498387
43	90	4	layer1_1_conv1,layer2_1_conv1,layer3_0_conv1,head	530532	70.4410302734375	69.9144921875	0.01	0.026538996696472167	4.95062436876653	102.82490234375	17.993662773321056
43	91	5	layer1_0_conv1,layer1_1_conv1,layer2_1_conv1,layer3_0_conv1,head	567396	15.151656494140624	14.625118408203125	0.03	0.6264144897460937	1.5196427096010925	34.28813232421875	6.079111006142263
43	92	4	layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,head	567396	17.44591796875	16.919381103515626	0.02	0.7442903137207031	1.8158992067841262	41.00310546875	7.201076959386006
43	93	5	layer1_0_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,head	604260	15.5309619140625	15.004425048828125	0.04	0.77280029296875	1.709996709095426	38.5120849609375	7.13042205973812
43	94	5	layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,head	604260	15.54456298828125	15.018026123046875	0.03	0.7197818756103516	1.7006952995622482	38.3443310546875	7.1074017316456795
43	95	6	layer1_0_conv1,layer1_1_conv1,layer2_0_conv1,layer2_1_conv1,layer3_0_conv1,head	641124	13.267901611328124	12.74136474609375	0.04	0.8416585540771484	1.6519676729230546	37.17329833984375	6.884586498113013
