seed	subset	public_group_count	public_groups	public_state_count	public_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	kl_minus_victim
48	3	2	stem,block_bn1	9	1984	2.8709130859375	2.2665982055664062	0.37	1.8490174865722657	0.5519754997842391	12.41417724609375	2.422220862400867	2.266598117662361
48	4	1	block_bn2	8	1920	2.6010137939453126	1.9966990661621093	0.62	0.47379753112792966	1.5179403525232338	34.04966064453125	6.835491478306443	1.996698978258064
48	5	2	stem,block_bn2	9	1984	5.609558715820312	5.005243835449218	0.34	0.6170002746582032	1.5042615753129143	33.76452880859375	6.9253406955903625	5.005243747545173
48	6	2	block_bn1,block_bn2	16	3840	10.6703466796875	10.066031494140624	0.1	0.6353428649902344	1.7331967422268093	38.49029296875	6.368477054995173	10.06603140623658
48	7	3	stem,block_bn1,block_bn2	17	3904	13.41529541015625	12.810980224609375	0.07	0.5845296478271484	1.683252938242367	37.41276611328125	5.9911927547859785	12.81098013670533
48	8	1	downsample	3	896	0.9029421997070313	0.29862743377685547	0.84	1.457020263671875	0.4717967795914997	10.625606689453125	2.11099770917095	0.2986273458728101
48	9	2	stem,downsample	4	960	2.0233921813964844	1.4190773010253905	0.58	2.255673522949219	0.44557994641529924	10.045791625976562	2.049718158979424	1.4190772131213452
48	10	2	block_bn1,downsample	11	2816	1.753026123046875	1.1487112426757813	0.61	2.235714569091797	0.44644870298498196	10.027216186523438	1.9987625077782503	1.148711154771736
48	11	3	stem,block_bn1,downsample	12	2880	3.276794738769531	2.6724798583984377	0.23	2.69838623046875	0.4259964425381693	9.596107177734375	1.9808129446959397	2.6724797704943923
48	12	2	block_bn2,downsample	11	2816	4.998793029785157	4.394478149414063	0.32	0.9094561767578125	1.3959379940745151	31.46063232421875	6.162866114885184	4.394478061510018
48	13	3	stem,block_bn2,downsample	12	2880	7.660908813476563	7.05659423828125	0.18	0.9896798706054688	1.3889579742203833	31.3037744140625	6.347837722405953	7.056594150377205
48	14	3	block_bn1,block_bn2,downsample	19	4736	11.127891845703125	10.523577880859374	0.14	0.7010858154296875	1.7360577422352634	39.051259765625	7.066312466555664	10.52357779295533
48	15	4	stem,block_bn1,block_bn2,downsample	20	4800	12.17958740234375	11.5752734375	0.08	0.7598004150390625	1.6623915099117184	37.433271484375	6.84913429748607	11.575273349595955
49	0	0		0	0	0.5841213226318359	1.1676573194563389e-07	1.0	0.5841487884521485	0.6613180305084582	14.86535888671875	2.995219237593469	0.0
49	1	1	stem	1	64	1.7841831970214843	1.200062026977539	0.59	1.427150115966797	0.6257692409701326	14.092493896484376	2.8190326909243177	1.200061910211807
49	2	1	block_bn1	8	1920	1.2767929077148437	0.6926716613769531	0.68	1.3565792846679687	0.5693827368737172	12.72303955078125	2.4788687408523673	0.6926715446112212
49	3	2	stem,block_bn1	9	1984	2.922679443359375	2.338558349609375	0.33	1.795902862548828	0.555472630139841	12.4675048828125	2.452907315182333	2.3385582328436434
49	4	1	block_bn2	8	1920	2.454839172363281	1.8707179260253906	0.65	0.49702674865722657	1.485512516447922	33.3443896484375	6.621163511800626	1.8707178092596586
49	5	2	stem,block_bn2	9	1984	5.916536254882812	5.33241455078125	0.33	0.7158773040771484	1.5098587556172474	33.91156005859375	6.996575724952886	5.332414434015518
49	6	2	block_bn1,block_bn2	16	3840	11.033486328125	10.449365234375	0.11	0.5780418395996094	1.7640899196551478	38.4669580078125	6.39262025698383	10.449365117609268
49	7	3	stem,block_bn1,block_bn2	17	3904	12.99965576171875	12.41553466796875	0.05	0.5737028884887695	1.7086709980537047	37.62437744140625	6.050078511887263	12.415534551203018
49	8	1	downsample	3	896	0.9069233703613281	0.3228022003173828	0.86	1.4722547912597657	0.46595778893777207	10.49550537109375	2.10823571084924	0.32280208355165085
49	9	2	stem,downsample	4	960	2.0201214599609374	1.4360003662109375	0.55	2.292189025878906	0.4444049568648342	10.018256225585937	2.0539556919210793	1.4360002494452055
49	10	2	block_bn1,downsample	11	2816	1.8558541870117187	1.271732940673828	0.51	2.163426971435547	0.44484997738605214	9.9719189453125	2.011589565026872	1.271732823908096
49	11	3	stem,block_bn1,downsample	12	2880	3.4214422607421877	2.8373208618164063	0.22	2.55104736328125	0.42796485300229203	9.632393798828126	1.9926823160002198	2.8373207450506746
49	12	2	block_bn2,downsample	11	2816	5.479735107421875	4.895614013671875	0.28	0.8160633850097656	1.38812648616816	31.3058642578125	6.0909471759324925	4.895613896906143
49	13	3	stem,block_bn2,downsample	12	2880	8.320072021484375	7.735950927734375	0.16	0.9903224182128906	1.386919494712816	31.27330078125	6.338048299752851	7.735950810968643
49	14	3	block_bn1,block_bn2,downsample	19	4736	12.14687255859375	11.5627490234375	0.09	0.6599603271484376	1.7432212985176234	39.227744140625	7.013115391892536	11.562748906671768
49	15	4	stem,block_bn1,block_bn2,downsample	20	4800	12.82027099609375	12.23614990234375	0.05	0.7709252166748047	1.6501086574959143	37.1681201171875	6.733679575462438	12.236149785578018
50	0	0		0	0	0.5676128768920898	1.0846648365259171e-07	1.0	0.5676021957397461	0.6566732150040162	14.7667041015625	2.9892310622884275	0.0
50	1	1	stem	1	64	1.7851803588867188	1.2175674438476562	0.64	1.4108981323242187	0.6238891800996473	14.04613037109375	2.805482912975946	1.2175673353811727
50	2	1	block_bn1	8	1920	1.3692599487304689	0.8016471862792969	0.68	1.37405517578125	0.5679489363161933	12.67772705078125	2.486813111821031	0.8016470778128132
50	3	2	stem,block_bn1	9	1984	2.9307147216796876	2.3631021118164064	0.38	1.8451388549804688	0.5458892657715657	12.24349365234375	2.4093627593722786	2.3631020033499226
50	4	1	block_bn2	8	1920	2.6935125732421876	2.125899658203125	0.63	0.510037841796875	1.4793044564269682	33.1931689453125	6.630739494958311	2.125899549736641
50	5	2	stem,block_bn2	9	1984	5.545047607421875	4.977434692382812	0.34	0.6637687683105469	1.522267880338976	34.1994775390625	7.073248458099009	4.977434583916328
