seed	group	param_count	reveal_alone_kl_recovery	hide_alone_kl_damage	shapley_kl_recovery	head_context_interaction
47	layer2_0_conv1	73728	7.598838195800782	1.0443683510436677	10.01041759609912	78.17277313232422
47	layer2_1_conv1	147456	7.417183837890626	0.1281988983764313	7.654627374566935	73.54697631835938
47	layer3_0_conv1	294912	7.82852783203125	1.2881502419128084	9.751116349456057	82.50673583984374
47	bn_gamma	4800	8.531426391601563	12.628505771697965	17.909753152129397	96.70733673095702
47	head	51300	-96.46595947265625	4.096941745819058	-27.725907309296385	0.0
48	layer1_0_conv1	36864	2.718518676757813	0.23831400663941169	6.119169746284385	31.389454956054674
48	layer1_1_conv1	36864	-20.537924194335936	0.3722965124377515	-10.933581241722205	-236.5425640869141
48	layer2_0_conv1	73728	5.1970913696289065	1.3628789404162671	9.983820570513307	81.85176116943359
48	layer2_1_conv1	147456	5.051246032714844	0.20245419294922615	7.19878643596639	75.77894927978515
48	layer3_0_conv1	294912	5.555884704589844	1.352151859117439	9.469455872739058	85.0172085571289
48	bn_gamma	4800	6.012603454589844	11.575273349595955	17.114853298072713	98.49105438232421
48	head	51300	-98.52437438964843	4.031577060533455	-28.889437753156113	0.0
49	layer1_0_conv1	36864	3.6870831298828115	0.2281572700140532	6.547416083049175	34.8417156982422
49	layer1_1_conv1	36864	-24.182955322265627	0.3214395499823149	-11.758955740579568	-239.73284545898434
49	layer2_0_conv1	73728	6.353402099609374	1.1749528861639555	9.764848255188662	72.62094360351564
49	layer2_1_conv1	147456	6.1077770996093745	0.16001872783876026	7.153102979055439	68.97585083007813
49	layer3_0_conv1	294912	6.937935791015624	1.3612887931463773	9.52667961250881	77.27230590820314
49	bn_gamma	4800	7.370921630859375	12.236149785578018	17.527076839478216	90.71419799804688
49	head	51300	-90.67202758789062	4.085672490656143	-27.27557463960708	0.0
50	layer1_0_conv1	36864	2.3258782958984376	0.21648127199616282	5.781864343679243	33.64533752441406
50	layer1_1_conv1	36864	-15.270247192382811	0.3270517790457234	-9.954671255711418	-234.1498114013672
50	layer2_0_conv1	73728	4.088427124023437	1.288168989433907	9.204370155370526	78.85513244628905
50	layer2_1_conv1	147456	3.907937622070312	0.16152271868195384	6.680277709996992	74.14878356933593
50	layer3_0_conv1	294912	4.371142578124999	1.2980502760550008	8.80296484124292	82.28776611328125
50	bn_gamma	4800	4.621631164550781	12.582321668877267	16.71442183180282	96.93501739501953
50	head	51300	-96.82960754394531	4.133318983330391	-28.529284497542886	0.0
51	layer1_0_conv1	36864	3.5757781982421877	0.18663433276640717	6.483746453164627	36.584343872070306
51	layer1_1_conv1	36864	-22.03044677734375	0.3215470334194833	-11.214710212510221	-237.19092041015625
51	layer2_0_conv1	73728	6.482879638671875	1.4007344647549325	9.889295365848751	76.33457641601562
51	layer2_1_conv1	147456	6.13099853515625	0.1400744458340341	7.205092879174761	70.88487548828125
51	layer3_0_conv1	294912	6.733281860351562	1.5522461529873544	9.49219623712561	78.98147888183594
51	bn_gamma	4800	7.091974487304688	12.760725004305714	17.564723306217402	93.87753051757814
51	head	51300	-94.17542724609375	4.165484525790089	-28.226279180965218	0.0
52	layer1_0_conv1	36864	2.7427081298828133	0.2102637531037908	6.295939383258081	33.442106323242186
52	layer1_1_conv1	36864	-20.100294189453123	0.29542269246536307	-11.221321929226661	-247.4896862792969
52	layer2_0_conv1	73728	4.836707458496094	1.3220482494111638	9.66005667184756	76.93192535400391
52	layer2_1_conv1	147456	4.572067871093751	0.18566540257888847	6.942447386492943	71.97897705078125
52	layer3_0_conv1	294912	5.1075549316406255	1.3803966380830388	9.202881884961974	80.593232421875
52	bn_gamma	4800	5.713998413085938	13.084926667379914	17.621353803703844	94.65948669433594
52	head	51300	-94.71125854492188	4.135537018942414	-28.633377555142186	0.0
