seed	case	utilization_strength	origin	best_epoch	selected_query_train_loss	selected_query_train_match	selected_validation_loss	selected_validation_match	epoch0_train_loss	epoch0_train_match	epoch0_validation_loss	epoch0_validation_match	surrogate_acc	fidelity	posterior_kl	accuracy_minus_blackbox	fidelity_minus_blackbox	posterior_kl_minus_blackbox	validation_loss_minus_blackbox	all_final_metrics_worse_than_blackbox	state_sha256
48	lambda_000	0.0	reused_lab04_matched_blackbox	28	0.6893995499610901	0.9725	4.076388835906982	0.11	4.726029014587402	0.0275	4.721926212310791	0.01	0.1332	0.1408	3.1477268814086914	0.0	0.0	0.0	0.0	False	39e782553505c42c561c2dc5c1563345d50430adc315893d2467d57e608e24cb
48	lambda_025	0.25	trained_lab08_intermediate	86	0.5864780187606812	0.9825	3.6426544189453125	0.2	4.603733596801757	0.0275	4.586119174957275	0.06	0.1787	0.1861	2.733418534851074	0.045499999999999985	0.04529999999999998	-0.4143083465576174	-0.4337344169616699	False	7191184967033b5f317f2a33ddcc93c8d4bdf3ed734a78fc4a0b03c71bda81dd
48	lambda_050	0.5	trained_lab08_intermediate	88	0.5856963777542115	0.9725	3.476318597793579	0.26	4.648300666809082	0.01	4.60780668258667	0.01	0.1946	0.2073	2.5585277866363527	0.06139999999999998	0.0665	-0.5891990947723387	-0.6000702381134033	False	9c542226fd7cd217845220edcc95ac0c6422c023c0e819709da2273193cf0d38
48	lambda_075	0.75	trained_lab08_intermediate	70	0.5951451683044433	0.95	3.585247755050659	0.17	4.8215927886962895	0.0125	4.702787399291992	0.01	0.1675	0.1793	2.722324499130249	0.0343	0.03849999999999998	-0.4254023822784423	-0.49114108085632324	False	c5f1b53c682b7cdaf32cb014f9aea313660adf8cb3015ed2a4f4b2582fe62ccd
48	lambda_100	1.0	reused_lab04_hybrid	83	0.6147284555435181	0.9625	4.144301891326904	0.1	10.690879974365235	0.0175	10.66738224029541	0.01	0.1135	0.1211	3.1766055503845214	-0.01970000000000001	-0.01970000000000001	0.028878668975830024	0.06791305541992188	True	730ea3701f02f60cd4928185d927c0715ef88d0e80bf730bfdb3526d645012b5
49	lambda_000	0.0	reused_lab04_matched_blackbox	85	0.6192718505859375	0.955	3.8456521034240723	0.15	4.830768489837647	0.0	4.77787446975708	0.01	0.145	0.1559	2.937340302276611	0.0	0.0	0.0	0.0	False	2e41d4e771ea47bb67f680c6e91e48b4f837882ba7fa98dc96c7822fb71b8258
49	lambda_025	0.25	trained_lab08_intermediate	90	0.6141092348098754	0.965	3.58955717086792	0.19	4.608570213317871	0.01	4.652834892272949	0.01	0.1745	0.1859	2.685019701385498	0.0295	0.03	-0.25232060089111297	-0.25609493255615234	False	29bc7e7b276cde0f63342c60d345b9d8a0a5f8ae603e8c1151b976ccaca7ea60
49	lambda_050	0.5	trained_lab08_intermediate	90	0.6113443517684937	0.975	3.349560499191284	0.27	4.6479246711730955	0.01	4.678921222686768	0.01	0.1834	0.1962	2.6246636352539063	0.03840000000000002	0.0403	-0.3126766670227048	-0.4960916042327881	False	a26aad119533d23de16bf4a71beff386f3f6bf55079faa3e5cfb447058474a4b
49	lambda_075	0.75	trained_lab08_intermediate	77	0.5998955392837524	0.9825	3.552152633666992	0.2	4.827132110595703	0.0125	4.825652122497559	0.01	0.1531	0.1649	2.8349682594299317	0.008100000000000024	0.00899999999999998	-0.10237204284667945	-0.2934994697570801	False	3e2868b45d8552604c6c62b41383ebfe237152d9f798712ed9280fb4bed96a4e
49	lambda_100	1.0	reused_lab04_hybrid	44	0.6582655239105225	0.97	4.166214942932129	0.15	12.362163925170899	0.01	12.068714141845703	0.01	0.1041	0.1154	3.2605746044158934	-0.04089999999999999	-0.04050000000000001	0.3232343021392823	0.32056283950805664	True	4e9345fd9ae8050842454c898351623060b2e7b33cb1dee1ad556847d817248a
