unit编号	state名称	state类型	模块	计算	输入	输出	TensorShield Top-17
77	layer3.0.downsample.1.num_batches_tracked	buffer	layer3.0.downsample.1	BatchNorm2d(256)	256×2×2	256×2×2	—
—	—	—	layer3.0.add	主分支与 downsample 逐元素相加	256×2×2 + 256×2×2	256×2×2	—
—	—	—	layer3.0.relu（第2次）	ReLU(inplace=True)	256×2×2	256×2×2	—
—	—	—	layer3.1.identity	恒等映射	256×2×2	256×2×2	—
78	layer3.1.conv1.weight	parameter	layer3.1.conv1	3×3 卷积，stride=1，padding=1，bias=False	256×2×2	256×2×2	Top-17
79	layer3.1.bn1.weight	parameter	layer3.1.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
80	layer3.1.bn1.bias	parameter	layer3.1.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
81	layer3.1.bn1.running_mean	buffer	layer3.1.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
82	layer3.1.bn1.running_var	buffer	layer3.1.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
83	layer3.1.bn1.num_batches_tracked	buffer	layer3.1.bn1	BatchNorm2d(256)	256×2×2	256×2×2	—
—	—	—	layer3.1.relu（第1次）	ReLU(inplace=True)	256×2×2	256×2×2	—
84	layer3.1.conv2.weight	parameter	layer3.1.conv2	3×3 卷积，stride=1，padding=1，bias=False	256×2×2	256×2×2	Top-16
85	layer3.1.bn2.weight	parameter	layer3.1.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
86	layer3.1.bn2.bias	parameter	layer3.1.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
87	layer3.1.bn2.running_mean	buffer	layer3.1.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
88	layer3.1.bn2.running_var	buffer	layer3.1.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
89	layer3.1.bn2.num_batches_tracked	buffer	layer3.1.bn2	BatchNorm2d(256)	256×2×2	256×2×2	—
—	—	—	layer3.1.add	主分支与 identity 逐元素相加	256×2×2 + 256×2×2	256×2×2	—
—	—	—	layer3.1.relu（第2次）	ReLU(inplace=True)	256×2×2	256×2×2	—
90	layer4.0.conv1.weight	parameter	layer4.0.conv1	3×3 卷积，stride=2，padding=1，bias=False	256×2×2	512×1×1	Top-12
91	layer4.0.bn1.weight	parameter	layer4.0.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
92	layer4.0.bn1.bias	parameter	layer4.0.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
93	layer4.0.bn1.running_mean	buffer	layer4.0.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
94	layer4.0.bn1.running_var	buffer	layer4.0.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
95	layer4.0.bn1.num_batches_tracked	buffer	layer4.0.bn1	BatchNorm2d(512)	512×1×1	512×1×1	—
—	—	—	layer4.0.relu（第1次）	ReLU(inplace=True)	512×1×1	512×1×1	—
96	layer4.0.conv2.weight	parameter	layer4.0.conv2	3×3 卷积，stride=1，padding=1，bias=False	512×1×1	512×1×1	Top-13
97	layer4.0.bn2.weight	parameter	layer4.0.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
98	layer4.0.bn2.bias	parameter	layer4.0.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
99	layer4.0.bn2.running_mean	buffer	layer4.0.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
100	layer4.0.bn2.running_var	buffer	layer4.0.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
101	layer4.0.bn2.num_batches_tracked	buffer	layer4.0.bn2	BatchNorm2d(512)	512×1×1	512×1×1	—
