case	top_k	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
top_01	1	25	0.01	400	243.12808990478516	0.6078202247619628	382	0.955	100	0.5973702669143677	0.11510856628417969	92	0.92	False
top_01	1	26	0.01	400	243.2439022064209	0.6081097555160523	378	0.945	100	0.608306884765625	0.12604518890380859	91	0.91	False
top_01	1	27	0.01	400	245.1667251586914	0.6129168128967285	377	0.9425	100	0.600107729434967	0.11784598350524902	93	0.93	False
top_01	1	28	0.01	400	242.88912105560303	0.6072228026390075	379	0.9475	100	0.5950266718864441	0.11276496887207031	93	0.93	False
top_01	1	29	0.01	400	241.73031425476074	0.6043257856369019	380	0.95	100	0.5826206207275391	0.10035894393920898	94	0.94	True
top_01	1	30	0.01	400	244.9976921081543	0.6124942302703857	380	0.95	100	0.5832693576812744	0.10100764274597168	96	0.96	False
top_01	1	31	0.01	400	246.4046983718872	0.616011745929718	378	0.945	100	0.5893076062202454	0.10704588890075684	93	0.93	False
top_01	1	32	0.01	400	242.78731966018677	0.6069682991504669	383	0.9575	100	0.5876505970954895	0.10538888931274414	93	0.93	False
top_01	1	33	0.01	400	245.107421875	0.6127685546875	380	0.95	100	0.5820887684822083	0.09982706069946289	96	0.96	True
top_01	1	34	0.01	400	242.30675840377808	0.6057668960094452	381	0.9525	100	0.5817729830741882	0.09951133728027343	94	0.94	True
top_01	1	35	0.01	400	242.93663120269775	0.6073415780067444	377	0.9425	100	0.5841189622879028	0.1018572998046875	95	0.95	False
top_01	1	36	0.01	400	242.6935691833496	0.606733922958374	389	0.9725	100	0.5880544185638428	0.1057927131652832	96	0.96	False
top_01	1	37	0.01	400	242.13685989379883	0.6053421497344971	375	0.9375	100	0.5908538103103638	0.10859207153320312	96	0.96	False
top_01	1	38	0.01	400	242.65844821929932	0.6066461205482483	380	0.95	100	0.5921580195426941	0.10989633560180664	95	0.95	False
top_01	1	39	0.01	400	242.35646152496338	0.6058911538124084	381	0.9525	100	0.5929111838340759	0.11064950942993164	93	0.93	False
top_01	1	40	0.01	400	239.22688961029053	0.5980672240257263	378	0.945	100	0.5935298800468445	0.11126818656921386	94	0.94	False
top_01	1	41	0.01	400	239.90925216674805	0.5997731304168701	390	0.975	100	0.5889307856559753	0.10666908264160156	95	0.95	False
