case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
conv1_bn2	16	0.01	400	1154.6033172607422	2.8865082931518553	265	0.6625	100	4.3376970291137695	3.8554351806640623	6	0.06	True
conv1_bn2	17	0.01	400	1120.6893463134766	2.8017233657836913	280	0.7	100	4.305934906005859	3.8236734008789064	7	0.07	True
conv1_bn2	18	0.01	400	1089.6864967346191	2.724216241836548	283	0.7075	100	4.296581268310547	3.814319763183594	7	0.07	True
conv1_bn2	19	0.01	400	1049.9756546020508	2.624939136505127	292	0.73	100	4.284572124481201	3.8023101806640627	6	0.06	True
conv1_bn2	20	0.01	400	1019.4453048706055	2.548613262176514	296	0.74	100	4.253788471221924	3.771527099609375	6	0.06	True
conv1_bn2	21	0.01	400	986.0666694641113	2.465166673660278	305	0.7625	100	4.24713659286499	3.7648751831054685	7	0.07	True
conv1_bn2	22	0.01	400	952.5301284790039	2.38132532119751	318	0.795	100	4.237551212310791	3.7552899169921874	7	0.07	True
conv1_bn2	23	0.01	400	920.2207374572754	2.3005518436431887	316	0.79	100	4.196254730224609	3.7139932250976564	10	0.1	True
conv1_bn2	24	0.01	400	889.7258682250977	2.224314670562744	323	0.8075	100	4.196650505065918	3.714388427734375	8	0.08	False
conv1_bn2	25	0.01	400	859.8104248046875	2.1495260620117187	330	0.825	100	4.1781535148620605	3.695892028808594	9	0.09	True
conv1_bn2	26	0.01	400	835.5008850097656	2.088752212524414	331	0.8275	100	4.166615962982178	3.684354248046875	10	0.1	True
conv1_bn2	27	0.01	400	810.9660110473633	2.0274150276184084	335	0.8375	100	4.156017303466797	3.6737554931640624	9	0.09	True
conv1_bn2	28	0.01	400	780.1213111877441	1.9503032779693603	331	0.8275	100	4.136603832244873	3.654342041015625	11	0.11	True
conv1_bn2	29	0.01	400	750.5097961425781	1.8762744903564452	350	0.875	100	4.1245551109313965	3.6422930908203126	11	0.11	True
conv1_bn2	30	0.01	400	729.7156448364258	1.8242891120910645	345	0.8625	100	4.1098833084106445	3.6276214599609373	13	0.13	True
conv1_bn2	31	0.01	400	709.9853191375732	1.7749632978439331	347	0.8675	100	4.092369079589844	3.610107727050781	14	0.14	True
conv1_bn2	32	0.01	400	684.7579765319824	1.711894941329956	353	0.8825	100	4.074799537658691	3.592538146972656	14	0.14	True
conv1_bn2	33	0.01	400	666.761604309082	1.6669040107727051	355	0.8875	100	4.052213191986084	3.569951477050781	14	0.14	True
conv1_bn2	34	0.01	400	643.9126434326172	1.609781608581543	360	0.9	100	4.038689613342285	3.5564276123046876	13	0.13	True
conv1_bn2	35	0.01	400	629.5247955322266	1.5738119888305664	363	0.9075	100	4.016680717468262	3.5344189453125	15	0.15	True
conv1_bn2	36	0.01	400	604.1011543273926	1.5102528858184814	360	0.9	100	4.003633499145508	3.5213717651367187	16	0.16	True
conv1_bn2	37	0.01	400	586.6114044189453	1.4665285110473634	362	0.905	100	3.9952995777130127	3.5130377197265625	16	0.16	True
conv1_bn2	38	0.01	400	565.6815071105957	1.4142037677764892	370	0.925	100	3.98689866065979	3.5046368408203126	14	0.14	True
conv1_bn2	39	0.01	400	553.8478965759277	1.3846197414398194	367	0.9175	100	3.996551752090454	3.5142901611328123	16	0.16	False
conv1_bn2	40	0.01	400	534.9372482299805	1.337343120574951	367	0.9175	100	3.9826927185058594	3.500430908203125	17	0.17	True
conv1_bn2	41	0.01	400	525.121919631958	1.312804799079895	372	0.93	100	3.9542033672332764	3.471942138671875	17	0.17	True
conv1_bn2	42	0.01	400	516.5237808227539	1.2913094520568849	368	0.92	100	3.944509267807007	3.462247619628906	16	0.16	True
conv1_bn2	43	0.01	400	497.6771068572998	1.2441927671432496	372	0.93	100	3.9390740394592285	3.456812438964844	18	0.18	True
conv1_bn2	44	0.01	400	486.3407745361328	1.215851936340332	373	0.9325	100	3.9397170543670654	3.457454833984375	16	0.16	False
conv1_bn2	45	0.01	400	482.5064239501953	1.2062660598754882	371	0.9275	100	3.9175639152526855	3.435302734375	18	0.18	True
conv1_bn2	46	0.01	400	464.367094039917	1.1609177350997926	376	0.94	100	3.9102962017059326	3.42803466796875	14	0.14	True
conv1_bn2	47	0.01	400	453.62148666381836	1.134053716659546	376	0.94	100	3.8912789821624756	3.4090170288085937	16	0.16	True
