rank_product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	output_shape	rank_capacity	image_count	cross_rank_mean	natural_rank_mean	rank_product	rank_gap_vv_vp_mean	rank_gap_pv_pp_mean	rank_interaction_mean	rank_gap_vv_pp_mean
27	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	256×2×2	4	500	3.0261593078529208	2.398448641298841	7.258087680273678	0.5561499537791419	-0.1866250677149135	0.7427750214940554	0.2671906233945931
28	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	256×2×2	4	500	2.6007043802292653	2.7426514123182195	7.132825541457974	0.12342305316329982	-0.7328223396811242	0.856245392844424	-0.1045118341782274
29	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	256×2×2	4	500	2.4675310536428317	2.4374365373206732	6.014450347122416	-0.08848318332127425	0.6793542131045358	-0.7678373964258101	0.44923910183107374
30	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
31	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
32	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
33	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
34	35	102	conv_weight	layer4.0.downsample.0	layer4.0.downsample.0.weight	131072	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
35	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
36	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
37	40	115	bn_gamma	layer4.1.bn2	layer4.1.bn2.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
38	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
39	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
40	1	0	conv_weight	conv1	conv1.weight	9408	64×16×16	64	500	0.0	8.836092509544937	0.0	0.6713414111811078	0.6713414111811078	0.0	0.6713414111811078
