seed	case	utilization_strength	state_sha256	train_loss	train_match	validation_loss	validation_kl	validation_match
47	lambda_100	1.0	0ded92cdeeb49258aa55519cf564fa7be1d66efee92985340591677cc7656607	12.074624099731444	0.0125	13.115885734558105	12.60763427734375	0.0
48	lambda_000	0.0	39e782553505c42c561c2dc5c1563345d50430adc315893d2467d57e608e24cb	4.726029014587402	0.0275	4.721926212310791	4.117611389160157	0.01
48	lambda_025	0.25	7191184967033b5f317f2a33ddcc93c8d4bdf3ed734a78fc4a0b03c71bda81dd	4.603733596801757	0.0275	4.586119174957275	3.9818048095703125	0.06
48	lambda_050	0.5	9c542226fd7cd217845220edcc95ac0c6422c023c0e819709da2273193cf0d38	4.648300666809082	0.01	4.60780668258667	4.0034921264648435	0.01
48	lambda_075	0.75	c5f1b53c682b7cdaf32cb014f9aea313660adf8cb3015ed2a4f4b2582fe62ccd	4.8215927886962895	0.0125	4.702787399291992	4.098472595214844	0.01
48	lambda_100	1.0	730ea3701f02f60cd4928185d927c0715ef88d0e80bf730bfdb3526d645012b5	10.690879974365235	0.0175	10.66738224029541	10.063067016601563	0.01
49	lambda_000	0.0	2e41d4e771ea47bb67f680c6e91e48b4f837882ba7fa98dc96c7822fb71b8258	4.830768489837647	0.0	4.77787446975708	4.193753051757812	0.01
49	lambda_025	0.25	29bc7e7b276cde0f63342c60d345b9d8a0a5f8ae603e8c1151b976ccaca7ea60	4.608570213317871	0.01	4.652834892272949	4.068713684082031	0.01
49	lambda_050	0.5	a26aad119533d23de16bf4a71beff386f3f6bf55079faa3e5cfb447058474a4b	4.6479246711730955	0.01	4.678921222686768	4.094800415039063	0.01
49	lambda_075	0.75	3e2868b45d8552604c6c62b41383ebfe237152d9f798712ed9280fb4bed96a4e	4.827132110595703	0.0125	4.825652122497559	4.241531066894531	0.01
49	lambda_100	1.0	4e9345fd9ae8050842454c898351623060b2e7b33cb1dee1ad556847d817248a	12.362163925170899	0.01	12.068714141845703	11.484593505859374	0.01
50	lambda_000	0.0	e69071851a01b89c7c23e4d3542e4927ef4a62c5e81974c8b875e9e539b27b80	4.751346588134766	0.0175	4.804477214813232	4.236864929199219	0.01
50	lambda_025	0.25	fe1cedc8bd64b504e1ca2863d8f68bf93da3915faf88133b21400d6f3f619ff3	4.613870735168457	0.0125	4.620196342468262	4.052583923339844	0.02
50	lambda_050	0.5	4d2269426fc9ac60a37f1edde222b9e58591277bddfa41e0a69fd0a61325c209	4.63642463684082	0.02	4.6259765625	4.058363647460937	0.02
50	lambda_075	0.75	9db89599377b3619ff6a5c85940b3560ff298f522b13b111f4988229b2355114	4.7734644317626955	0.0125	4.699442386627197	4.1318292236328125	0.03
50	lambda_100	1.0	c548eec0cd7f45b519368a752f54c2bfaed350544158cc6023aea9f64965357d	9.869317817687989	0.0025	9.267555236816406	8.699943237304687	0.0
51	lambda_000	0.0	744ec7d5ee2e49fdff85828dc8e4269a44f9eb8d673a459d3cd1f83e4489f886	4.792736530303955	0.0025	4.8071208000183105	4.261264953613281	0.0
51	lambda_025	0.25	8a474b99e63d4bd78ee80d3327d4ab299cdaad97640aaab58994d17fcc277343	4.646694145202637	0.005	4.614166259765625	4.068309936523438	0.01
51	lambda_050	0.5	4a0fd88b77da21d25cf83a142c57f54ee718028f5fc6f793f5b732fd0e693e98	4.653151779174805	0.0075	4.605865478515625	4.060009155273438	0.0
51	lambda_075	0.75	c8b118da1861bcf30e29421d45e6e71539cfb40469aba5ff58e879256854df7f	4.7533778381347656	0.0	4.671634197235107	4.1257781982421875	0.0
51	lambda_100	1.0	0038d6a6a7da0391ec89aca8e87267881c969403ff0223bc7e1ffc2663709e6d	10.707107009887695	0.0125	11.739920616149902	11.19406494140625	0.0
